Filename,Shape
LGE@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P036@lge_sax.h5,[  2   8  10 512 150]
Cine@TrainingSet@FullSample@Center001@UIH_30T_umr780@P056@cine_lax_3ch.h5,[ 12   1  10 446 198]
Cine@TrainingSet@FullSample@Center006@UIH_30T_umr790@P004@cine_rvot.h5,[ 12   1  10 450 224]
Cine@TrainingSet@FullSample@Center005@Siemens_30T_Vida@P002@cine_lvot.h5,[ 12   1  10 448 166]
Cine@TrainingSet@FullSample@Center005@UIH_15T_umr670@P026@cine_lax_2ch.h5,[ 12   1  10 384 205]
Mapping@TrainingSet@FullSample@Center002@Siemens_30T_CIMA.X@P012@T1map.h5,[  8   7  10 390 135]
LGE@TrainingSet@FullSample@Center005@UIH_15T_umr670@P021@lge_lax_2ch.h5,[  2   1  10 384 170]
Cine@TrainingSet@FullSample@Center005@UIH_15T_umr670@P001@cine_ot.h5,[ 12   1  10 380 171]
Mapping@TrainingSet@FullSample@Center005@UIH_15T_umr670@P005@T1mappost.h5,[  9   3  10 382 149]
Cine@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P036@cine_lax.h5,[ 12   3  10 414 130]
LGE@TrainingSet@FullSample@Center005@UIH_15T_umr670@P003@lge_lax_4ch.h5,[  2   1  10 382 170]
Mapping@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P029@T2map.h5,[  3   1  10 388  58]
Mapping@TrainingSet@FullSample@Center002@Siemens_30T_CIMA.X@P009@T2map.h5,[  3   7  10 386 106]
Cine@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P026@cine_sax.h5,[ 12  14  10 418 162]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P024@T1map.h5,[  8   3  10 516 161]
T2w@TrainingSet@FullSample@Center001@UIH_30T_umr780@P046@T2w.h5,[ 11  10 512 248]
LGE@TrainingSet@FullSample@Center003@UIH_30T_umr880@P010@lge_sax.h5,[  2  11  10 510 175]
Cine@TrainingSet@FullSample@Center007@Siemens_15T_Sola@P011@cine_lax_4ch.h5,[ 12   1  10 384 132]
Mapping@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P039@T2map.h5,[  3   1  10 384 106]
T2w@TrainingSet@FullSample@Center001@UIH_30T_umr780@P049@T2w.h5,[ 13  10 512 248]
T2w@TrainingSet@FullSample@Center001@UIH_30T_umr780@P043@T2w.h5,[ 11  10 514 201]
Perfusion@TrainingSet@FullSample@Center005@UIH_15T_umr670@P027@perfusion.h5,[ 50   4  10 222  87]
Cine@TrainingSet@FullSample@Center001@UIH_30T_umr780@P037@cine_lax_3ch.h5,[ 12   1  10 446 198]
Flow2d@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P028@flow2d.h5,[  2  21  10 380 119]
Cine@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P025@cine_lax.h5,[ 12   3  10 414 166]
Cine@TrainingSet@FullSample@Center007@Siemens_30T_Prisma@P013@cine_lax_3ch.h5,[ 12   1  10 384 144]
LGE@TrainingSet@FullSample@Center001@UIH_30T_umr780@P031@lge_lax_2ch.h5,[  2   1  10 510 175]
LGE@TrainingSet@FullSample@Center003@UIH_30T_umr880@P004@lge_lax_4ch.h5,[  2   1  10 510 175]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P002@T2map.h5,[  3   3  10 374 157]
Mapping@TrainingSet@FullSample@Center005@UIH_15T_umr670@P015@T1mappost.h5,[  9   3  10 384 149]
Cine@TrainingSet@FullSample@Center002@Siemens_30T_CIMA.X@P007@cine_lax_4ch.h5,[ 12   1  10 448 160]
Cine@TrainingSet@FullSample@Center001@UIH_30T_umr780@P003@cine_sax.h5,[ 12  11  10 448 198]
Cine@TrainingSet@FullSample@Center003@UIH_30T_umr880@P022@cine_ot.h5,[ 12   1  10 438 298]
BlackBlood@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P002@blackblood.h5,[ 10  10 512 150]
Cine@TrainingSet@FullSample@Center007@Siemens_30T_Prisma@P014@cine_lax_4ch.h5,[ 12   1  10 384 144]
Cine@TrainingSet@FullSample@Center005@UIH_15T_umr670@P006@cine_lax_4ch.h5,[ 12   1  10 378 171]
Cine@TrainingSet@FullSample@Center006@UIH_30T_umr790@P003@cine_lax_3ch.h5,[ 12   1  10 444 224]
T1w@TrainingSet@FullSample@Center005@UIH_15T_umr670@P007@T1w.h5,[ 10  10 512 246]
LGE@TrainingSet@FullSample@Center003@UIH_30T_umr880@P019@lge_lax_2ch.h5,[  2   1  10 516 175]
Cine@TrainingSet@FullSample@Center005@UIH_15T_umr670@P020@cine_ot.h5,[ 12   1  10 382 171]
Cine@TrainingSet@FullSample@Center001@UIH_30T_umr780@P013@cine_lax_3ch.h5,[ 12   1  10 442 198]
Mapping@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P017@T2map.h5,[  3   1  10 382 100]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P033@T2map.h5,[  3   3  10 384 157]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P042@T1map.h5,[  8   3  10 512 161]
Cine@TrainingSet@FullSample@Center005@Siemens_30T_Vida@P010@cine_lax.h5,[ 12   3  10 448 166]
LGE@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P021@lge_sax.h5,[  2   9  10 514 199]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P049@T1mappost.h5,[  9   3  10 520 161]
T1rho@TrainingSet@FullSample@Center001@UIH_30T_umr780@P013@T1rho.h5,[  4   3  10 382 137]
LGE@TrainingSet@FullSample@Center001@UIH_30T_umr780@P058@lge_lax_4ch.h5,[  2   1  10 506 175]
LGE@TrainingSet@FullSample@Center002@Siemens_30T_CIMA.X@P010@lge_lax.h5,[  2   3  10 510 151]
LGE@TrainingSet@FullSample@Center002@Siemens_30T_CIMA.X@P020@lge_sax.h5,[  2   7  10 510 146]
BlackBlood@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P026@blackblood.h5,[  9  10 512 162]
Cine@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P004@cine_lax.h5,[ 12   3  10 414 166]
Flow2d@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P034@flow2d.h5,[  2  25  10 386 119]
LGE@TrainingSet@FullSample@Center003@UIH_30T_umr880@P008@lge_lax_4ch.h5,[  2   1  10 516 175]
Cine@TrainingSet@FullSample@Center005@UIH_15T_umr670@P024@cine_lax_4ch.h5,[ 12   1  10 386 171]
LGE@TrainingSet@FullSample@Center006@UIH_30T_umr790@P003@lge_lax_2ch.h5,[  2   1  10 512 175]
Cine@TrainingSet@FullSample@Center005@UIH_15T_umr670@P018@cine_lax_2ch.h5,[ 12   1  10 384 205]
Mapping@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P038@T2map.h5,[  3   8  10 378  55]
Cine@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P022@cine_lax.h5,[ 12   3  10 418 166]
LGE@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P026@lge_sax.h5,[  2   9  10 516 199]
Cine@TrainingSet@FullSample@Center002@Siemens_30T_CIMA.X@P005@cine_lax.h5,[ 12   3  10 448 162]
Mapping@TrainingSet@FullSample@Center005@Siemens_30T_Vida@P002@T1map.h5,[  9   3  10 510 131]
LGE@TrainingSet@FullSample@Center005@UIH_15T_umr670@P007@lge_lax_2ch.h5,[  2   1  10 382 170]
LGE@TrainingSet@FullSample@Center003@UIH_30T_umr880@P020@lge_lax_2ch.h5,[  2   1  10 510 175]
Mapping@TrainingSet@FullSample@Center002@Siemens_30T_CIMA.X@P003@T2map.h5,[  3   5  10 384  86]
Cine@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P027@cine_sax.h5,[ 12  11  10 416 162]
Mapping@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P013@T1map.h5,[  8   6  10 512 142]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P011@T1mappost.h5,[  9   3  10 506 161]
Cine@TrainingSet@FullSample@Center001@UIH_30T_umr780@P056@cine_lax_4ch.h5,[ 12   1  10 452 198]
Cine@TrainingSet@FullSample@Center006@UIH_30T_umr790@P006@cine_lax_4ch.h5,[ 12   1  10 446 224]
Cine@TrainingSet@FullSample@Center007@Siemens_15T_Sola@P004@cine_sax.h5,[ 12  12  10 384 144]
LGE@TrainingSet@FullSample@Center001@UIH_30T_umr780@P014@lge_lax_2ch.h5,[  2   1  10 510 175]
LGE@TrainingSet@FullSample@Center002@Siemens_30T_CIMA.X@P018@lge_lax.h5,[  2   3  10 508 158]
LGE@TrainingSet@FullSample@Center003@UIH_30T_umr880@P015@lge_lax_2ch.h5,[  2   1  10 514 175]
LGE@TrainingSet@FullSample@Center002@UIH_30T_umr880@P009@lge_lax_3ch.h5,[  2   1  10 516 175]
Mapping@TrainingSet@FullSample@Center005@UIH_15T_umr670@P013@T1map.h5,[  8   3  10 384 149]
T1rho@TrainingSet@FullSample@Center001@UIH_30T_umr780@P033@T1rho.h5,[  4   3  10 384 137]
Cine@TrainingSet@FullSample@Center001@UIH_30T_umr780@P054@cine_lax_4ch.h5,[ 12   1  10 446 198]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P019@T1map.h5,[  8   3  10 506 161]
LGE@TrainingSet@FullSample@Center005@UIH_15T_umr670@P023@lge_lax_4ch.h5,[  2   1  10 380 170]
Cine@TrainingSet@FullSample@Center002@UIH_30T_umr880@P001@cine_lvot.h5,[ 12   1  10 442 212]
Mapping@TrainingSet@FullSample@Center003@UIH_30T_umr880@P018@T2map.h5,[  3   3  10 386 177]
Cine@TrainingSet@FullSample@Center007@Siemens_15T_Sola@P008@cine_sax.h5,[ 12   1  10 448 176]
Cine@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P002@cine_sax.h5,[ 12   8  10 416 162]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P049@T2smap.h5,[  8   3  10 438 141]
Cine@TrainingSet@FullSample@Center006@UIH_30T_umr790@P009@cine_rvot.h5,[ 12   1  10 448 224]
Cine@TrainingSet@FullSample@Center003@UIH_30T_umr880@P024@cine_ot.h5,[ 12   1  10 444 298]
Mapping@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P033@T2map.h5,[  3   1  10 386  71]
Mapping@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P038@T1map.h5,[  8   8  10 506  72]
LGE@TrainingSet@FullSample@Center005@UIH_15T_umr670@P017@lge_lax_4ch.h5,[  2   1  10 380 170]
T2w@TrainingSet@FullSample@Center005@UIH_15T_umr670@P017@T2w.h5,[ 10  10 512 228]
Mapping@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P036@T2map.h5,[  3   1  10 384  73]
T1w@TrainingSet@FullSample@Center003@UIH_30T_umr880@P024@T1w.h5,[ 10  10 512 248]
T1w@TrainingSet@FullSample@Center003@UIH_30T_umr880@P015@T1w.h5,[ 10  10 512 248]
T2w@TrainingSet@FullSample@Center005@UIH_15T_umr670@P020@T2w.h5,[  9  10 512 228]
LGE@TrainingSet@FullSample@Center002@UIH_30T_umr880@P005@lge_lax_3ch.h5,[  2   1  10 516 175]
Cine@TrainingSet@FullSample@Center001@UIH_30T_umr780@P035@cine_sax.h5,[ 12  11  10 452 198]
LGE@TrainingSet@FullSample@Center006@UIH_30T_umr790@P002@lge_lax_2ch.h5,[  2   1  10 508 192]
Mapping@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P021@T1map.h5,[  8   6  10 512 145]
Cine@TrainingSet@FullSample@Center007@Siemens_15T_Sola@P021@cine_lax_4ch.h5,[ 12   1  10 448 180]
LGE@TrainingSet@FullSample@Center001@UIH_30T_umr780@P036@lge_lax_2ch.h5,[  2   1  10 508 175]
LGE@TrainingSet@FullSample@Center003@UIH_30T_umr880@P015@lge_lax_4ch.h5,[  2   1  10 510 175]
Mapping@TrainingSet@FullSample@Center002@Siemens_30T_CIMA.X@P017@T1map.h5,[  9   3  10 510 149]
LGE@TrainingSet@FullSample@Center002@Siemens_30T_CIMA.X@P012@lge_sax.h5,[  2   8  10 508 187]
LGE@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P032@lge_sax.h5,[  2   8  10 514 150]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P026@T1map.h5,[  8   3  10 512 161]
T1w@TrainingSet@FullSample@Center003@UIH_30T_umr880@P022@T1w.h5,[ 10  10 512 248]
Cine@TrainingSet@FullSample@Center007@Siemens_15T_Sola@P006@cine_sax.h5,[ 12  12  10 384 144]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P054@T1mappost.h5,[  9   3  10 512 161]
Mapping@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P027@T2map.h5,[  3   1  10 384  97]
Cine@TrainingSet@FullSample@Center001@UIH_30T_umr780@P055@cine_sax.h5,[ 12   9  10 448 198]
Mapping@TrainingSet@FullSample@Center002@Siemens_30T_CIMA.X@P020@T2map.h5,[  3   5  10 384  83]
T2w@TrainingSet@FullSample@Center001@UIH_30T_umr780@P014@T2w.h5,[ 13  10 512 248]
Cine@TrainingSet@FullSample@Center005@UIH_15T_umr670@P001@cine_lax_4ch.h5,[ 12   1  10 386 171]
T1rho@TrainingSet@FullSample@Center001@UIH_30T_umr780@P024@T1rho.h5,[  4   3  10 378 137]
Cine@TrainingSet@FullSample@Center007@Siemens_15T_Sola@P012@cine_sax.h5,[ 12   1  10 448 180]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P001@T1map.h5,[  8   3  10 512 161]
Cine@TrainingSet@FullSample@Center005@Siemens_30T_Vida@P001@cine_lvot.h5,[ 12   1  10 446 166]
Mapping@TrainingSet@FullSample@Center005@UIH_15T_umr670@P008@T1map.h5,[  8   3  10 378 149]
Mapping@TrainingSet@FullSample@Center005@UIH_15T_umr670@P024@T1map.h5,[  8   3  10 380 149]
LGE@TrainingSet@FullSample@Center003@UIH_30T_umr880@P022@lge_lax_4ch.h5,[  2   1  10 516 175]
Cine@TrainingSet@FullSample@Center001@UIH_30T_umr780@P041@cine_lax_4ch.h5,[ 12   1  10 448 198]
Cine@TrainingSet@FullSample@Center007@Siemens_15T_Sola@P013@cine_sax.h5,[ 12   1  10 448 180]
Mapping@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P028@T1map.h5,[  8   6  10 512 135]
LGE@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P035@lge_sax.h5,[  2   9  10 512 150]
BlackBlood@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P013@blackblood.h5,[  8  10 512 162]
Mapping@TrainingSet@FullSample@Center005@Siemens_30T_Vida@P004@T2map.h5,[  3   3  10 384  91]
Mapping@TrainingSet@FullSample@Center005@Siemens_30T_Vida@P003@T2map.h5,[  3   3  10 388  85]
Cine@TrainingSet@FullSample@Center006@UIH_30T_umr790@P011@cine_sax.h5,[ 12  12  10 452 189]
LGE@TrainingSet@FullSample@Center002@UIH_30T_umr880@P006@lge_sax.h5,[  2   7  10 510 200]
LGE@TrainingSet@FullSample@Center001@UIH_30T_umr780@P029@lge_lax_2ch.h5,[  2   1  10 510 175]
T1w@TrainingSet@FullSample@Center005@Siemens_30T_Vida@P013@T1w.h5,[ 10  10 512 255]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P051@T2map.h5,[  3   3  10 384 157]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P061@T1mappost.h5,[  9   3  10 512 161]
Cine@TrainingSet@FullSample@Center001@UIH_30T_umr780@P009@cine_sax.h5,[ 12  11  10 446 198]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P031@T1mappost.h5,[  9   3  10 512 161]
LGE@TrainingSet@FullSample@Center002@UIH_30T_umr880@P010@lge_lax_3ch.h5,[  2   1  10 510 175]
Cine@TrainingSet@FullSample@Center007@Siemens_15T_Sola@P003@cine_sax.h5,[ 12  12  10 384 144]
Cine@TrainingSet@FullSample@Center005@Siemens_30T_Vida@P010@cine_sax.h5,[ 12  10  10 446 160]
Cine@TrainingSet@FullSample@Center001@UIH_30T_umr780@P031@cine_lax_4ch.h5,[ 12   1  10 442 198]
T1rho@TrainingSet@FullSample@Center001@UIH_30T_umr780@P002@T1rho.h5,[  4   3  10 382 137]
Cine@TrainingSet@FullSample@Center001@UIH_30T_umr780@P020@cine_lax_3ch.h5,[ 12   1  10 446 198]
Cine@TrainingSet@FullSample@Center006@UIH_30T_umr790@P002@cine_sax.h5,[ 12   1  10 448 189]
Cine@TrainingSet@FullSample@Center003@UIH_30T_umr880@P015@cine_sax.h5,[ 12  10  10 448 278]
Cine@TrainingSet@FullSample@Center005@Siemens_30T_Vida@P014@cine_sax.h5,[ 12   1  10 446 162]
Cine@TrainingSet@FullSample@Center005@UIH_15T_umr670@P019@cine_lax_4ch.h5,[ 12   1  10 382 171]
Perfusion@TrainingSet@FullSample@Center001@UIH_30T_umr780@P020@perfusion.h5,[ 50   4  10 380 131]
T1w@TrainingSet@FullSample@Center005@UIH_15T_umr670@P026@T1w.h5,[ 10  10 514 199]
T1w@TrainingSet@FullSample@Center005@UIH_15T_umr670@P013@T1w.h5,[  9  10 512 246]
LGE@TrainingSet@FullSample@Center002@Siemens_30T_CIMA.X@P012@lge_lax.h5,[  2   3  10 508 187]
Cine@TrainingSet@FullSample@Center005@Siemens_30T_Vida@P003@cine_lvot.h5,[ 12   1  10 444 166]
Mapping@TrainingSet@FullSample@Center002@Siemens_30T_CIMA.X@P018@T2map.h5,[  3   6  10 384 103]
Mapping@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P034@T1map.h5,[  8   6  10 514 149]
Cine@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P011@cine_sax.h5,[ 12  13  10 414 162]
Cine@TrainingSet@FullSample@Center002@UIH_30T_umr880@P007@cine_lax_4ch.h5,[ 12   1  10 450 212]
LGE@TrainingSet@FullSample@Center005@UIH_15T_umr670@P007@lge_sax.h5,[  2  10  10 382 170]
Flow2d@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P019@flow2d.h5,[  2  21  10 382 119]
Mapping@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P026@T1map.h5,[  8   6  10 514 145]
LGE@TrainingSet@FullSample@Center001@UIH_30T_umr780@P061@lge_lax_4ch.h5,[  2   1  10 514 175]
Cine@TrainingSet@FullSample@Center006@UIH_30T_umr790@P002@cine_lax_r2ch.h5,[ 12   1  10 444 290]
Cine@TrainingSet@FullSample@Center005@Siemens_30T_Vida@P010@cine_lvot.h5,[ 12   1  10 444 166]
Cine@TrainingSet@FullSample@Center005@UIH_15T_umr670@P005@cine_ot.h5,[ 12   1  10 384 171]
Cine@TrainingSet@FullSample@Center005@UIH_15T_umr670@P018@cine_lax_4ch.h5,[ 12   1  10 382 171]
Flow2d@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P002@flow2d.h5,[  2  17  10 380 119]
Cine@TrainingSet@FullSample@Center006@UIH_30T_umr790@P004@cine_sax.h5,[ 12  13  10 450 198]
LGE@TrainingSet@FullSample@Center001@UIH_30T_umr780@P049@lge_lax_4ch.h5,[  2   1  10 510 175]
Mapping@TrainingSet@FullSample@Center005@Siemens_30T_Vida@P003@T1map.h5,[  8   4  10 508 117]
Cine@TrainingSet@FullSample@Center003@UIH_30T_umr880@P020@cine_ot.h5,[ 12   1  10 440 298]
Cine@TrainingSet@FullSample@Center001@UIH_30T_umr780@P041@cine_lax_3ch.h5,[ 12   1  10 450 198]
Cine@TrainingSet@FullSample@Center001@UIH_30T_umr780@P044@cine_lax_3ch.h5,[ 12   1  10 448 198]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P021@T1map.h5,[  8   3  10 512 161]
Cine@TrainingSet@FullSample@Center001@UIH_30T_umr780@P011@cine_lax_4ch.h5,[ 12   1  10 450 198]
LGE@TrainingSet@FullSample@Center006@UIH_30T_umr790@P001@lge_lax_2ch.h5,[  2   1  10 514 175]
LGE@TrainingSet@FullSample@Center005@UIH_15T_umr670@P010@lge_lax_4ch.h5,[  2   1  10 382 170]
T2w@TrainingSet@FullSample@Center005@UIH_15T_umr670@P001@T2w.h5,[ 10  10 512 228]
Mapping@TrainingSet@FullSample@Center005@UIH_15T_umr670@P017@T2map.h5,[  3   3  10 384 149]
LGE@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P022@lge_sax.h5,[  2   8  10 512 150]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P014@T2map.h5,[  3   3  10 384 157]
Mapping@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P004@T2map.h5,[  3   1  10 382  77]
LGE@TrainingSet@FullSample@Center005@UIH_15T_umr670@P024@lge_lax_4ch.h5,[  2   1  10 380 170]
Mapping@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P015@T2map.h5,[  3   1  10 388  71]
Cine@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P031@cine_rvot.h5,[ 12   1  10 416 166]
Cine@TrainingSet@FullSample@Center001@UIH_30T_umr780@P061@cine_lax_4ch.h5,[ 12   1  10 448 198]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P054@T2map.h5,[  3   3  10 382 157]
LGE@TrainingSet@FullSample@Center002@UIH_30T_umr880@P005@lge_lax_2ch.h5,[  2   1  10 512 175]
Flow2d@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P004@flow2d.h5,[  2  12  10 388 119]
Cine@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P021@cine_lax.h5,[ 12   3  10 414 166]
LGE@TrainingSet@FullSample@Center003@UIH_30T_umr880@P012@lge_lax_4ch.h5,[  2   1  10 510 175]
Perfusion@TrainingSet@FullSample@Center005@UIH_15T_umr670@P008@perfusion.h5,[ 50   4  10 224  87]
Cine@TrainingSet@FullSample@Center005@UIH_15T_umr670@P002@cine_lax_4ch.h5,[ 12   1  10 380 171]
Cine@TrainingSet@FullSample@Center007@Siemens_30T_Vida@P004@cine_lax_2ch.h5,[ 12   1  10 384 132]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P029@T2smap.h5,[  8   3  10 426 163]
Perfusion@TrainingSet@FullSample@Center005@UIH_15T_umr670@P015@perfusion.h5,[ 50   4  10 222  87]
T1w@TrainingSet@FullSample@Center005@UIH_15T_umr670@P016@T1w.h5,[ 10  10 512 246]
Mapping@TrainingSet@FullSample@Center002@UIH_30T_umr880@P007@T1map.h5,[  5   1  10 514 161]
T1w@TrainingSet@FullSample@Center005@UIH_15T_umr670@P002@T1w.h5,[  8  10 512 246]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P014@T1map.h5,[  8   3  10 512 161]
Cine@TrainingSet@FullSample@Center002@UIH_30T_umr880@P006@cine_lax_2ch.h5,[ 12   1  10 450 212]
Cine@TrainingSet@FullSample@Center001@UIH_30T_umr780@P054@cine_lax_3ch.h5,[ 12   1  10 444 198]
Cine@TrainingSet@FullSample@Center003@UIH_30T_umr880@P004@cine_lax_2ch.h5,[ 12   1  10 458 198]
LGE@TrainingSet@FullSample@Center005@Siemens_30T_Vida@P011@lge_lax.h5,[  2   2  10 512 144]
Cine@TrainingSet@FullSample@Center003@UIH_30T_umr880@P024@cine_lax_2ch.h5,[ 12   1  10 456 198]
T1w@TrainingSet@FullSample@Center003@UIH_30T_umr880@P006@T1w.h5,[ 10  10 512 248]
LGE@TrainingSet@FullSample@Center005@UIH_15T_umr670@P024@lge_lax_2ch.h5,[  2   1  10 384 170]
LGE@TrainingSet@FullSample@Center005@Siemens_30T_Vida@P007@lge_sax.h5,[  2  12  10 516 132]
Perfusion@TrainingSet@FullSample@Center001@UIH_30T_umr780@P056@perfusion.h5,[ 50   4  10 380 131]
Cine@TrainingSet@FullSample@Center001@UIH_30T_umr780@P041@cine_sax.h5,[ 12  11  10 444 198]
Perfusion@TrainingSet@FullSample@Center002@UIH_30T_umr880@P001@perfusion.h5,[ 50   4  10 384 133]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P043@T1mappost.h5,[  9   3  10 514 161]
Cine@TrainingSet@FullSample@Center001@UIH_30T_umr780@P027@cine_lax_4ch.h5,[ 12   1  10 442 198]
Mapping@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P030@T1map.h5,[  8   6  10 512 135]
T1rho@TrainingSet@FullSample@Center001@UIH_30T_umr780@P061@T1rho.h5,[  4   3  10 386 137]
Flow2d@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P017@flow2d.h5,[  2  17  10 384 119]
Cine@TrainingSet@FullSample@Center006@UIH_30T_umr790@P001@cine_sax.h5,[ 12   6  10 450 189]
T1w@TrainingSet@FullSample@Center003@UIH_30T_umr880@P009@T1w.h5,[ 10  10 512 248]
Cine@TrainingSet@FullSample@Center002@UIH_30T_umr880@P001@cine_lax_3ch.h5,[ 12   1  10 442 212]
LGE@TrainingSet@FullSample@Center002@Siemens_30T_CIMA.X@P016@lge_lax.h5,[  2   3  10 510 163]
Mapping@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P025@T2map.h5,[  3   1  10 384  80]
Cine@TrainingSet@FullSample@Center001@UIH_30T_umr780@P034@cine_lax_3ch.h5,[ 12   1  10 446 198]
Mapping@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P014@T1map.h5,[  8   6  10 514 145]
Mapping@TrainingSet@FullSample@Center006@UIH_30T_umr790@P007@T2map.h5,[  3   3  10 378 149]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P006@T1map.h5,[  8   3  10 512 161]
Mapping@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P014@T2map.h5,[  3   1  10 380  92]
Perfusion@TrainingSet@FullSample@Center001@UIH_30T_umr780@P011@perfusion.h5,[ 50   4  10 384 131]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P060@T2map.h5,[  3   3  10 382 157]
Cine@TrainingSet@FullSample@Center003@UIH_30T_umr880@P013@cine_sax.h5,[ 12  10  10 438 278]
Cine@TrainingSet@FullSample@Center007@Siemens_30T_Prisma@P011@cine_sax.h5,[ 12   1  10 384 144]
Cine@TrainingSet@FullSample@Center007@Siemens_30T_Vida@P001@cine_lax_3ch.h5,[ 12   1  10 384 132]
Mapping@TrainingSet@FullSample@Center001@UIH_30T_umr780@P008@T1map.h5,[  8   3  10 512 161]
Cine@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P040@cine_rvot.h5,[ 12   1  10 416 166]
Cine@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P035@cine_sax.h5,[ 12  14  10 412 160]
LGE@TrainingSet@FullSample@Center003@UIH_30T_umr880@P025@lge_sax.h5,[  2  10  10 512 260]
BlackBlood@TrainingSet@FullSample@Center006@Siemens_30T_Prisma@P015@blackblood.h5,[  9  10 512 125]
Cine@TrainingSet@FullSample@Center001@UIH_30T_umr780@P032@cine_lax_3ch.h5,[ 12   1  10 444 198]
Cine@TrainingSet@FullSample@Center003@UIH_30T_umr880@P018@cine_lax_3ch.h5,[ 12   1  10 452 198]
Cine@TrainingSet@FullSample@Center003@UIH_30T_umr880@P011@cine_ot.h5,[ 12   1  10 446 298]
T2w@TrainingSet@FullSample@Center001@UIH_30T_umr780@P013@T2w.h5,[ 11  10 512 248]
Mapping@TrainingSet@FullSample@Center005@UIH_15T_umr670@P019@T1mappost.h5,[  9   3  10 384 149]
Mapping@TrainingSet@FullSample@Center002@Siemens_30T_CIMA.X@P020@T1map.h5,[  8   6  10 384 103]
Cine@TrainingSet@FullSample@Center005@UIH_15T_umr670@P027@cine_lax_2ch.h5,[ 12   1  10 380 205]
